Player,Height,Weight,Age,School,BDate
LamarÿOdom,82,230,33,Rhode Island,11/6/1979
JaredÿDudley,79,225,28,Boston College,7/10/1985
JamalÿCrawford,77,200,33,Michigan,3/20/1980
RyanÿHollins,84,240,28,UCLA,10/10/1984
MattÿBarnes,79,226,33,UCLA,3/9/1980
ReggieÿBullock,79,200,22,North Carolina,3/16/1991
BlakeÿGriffin,82,251,24,Oklahoma,3/16/1989
AntawnÿJamison,81,235,37,North Carolina,6/12/1976
WillieÿGreen,75,201,32,Detroit,7/28/1981
XavierÿHenry,78,220,22,Kansas,3/15/1991
MarcusÿLandry,79,230,27,Wisconsin,11/1/1985
ShawneÿWilliams,81,230,27,Memphis,2/16/1986
NickÿYoung,78,200,28,USC,6/1/1985
JordanÿFarmar,74,180,26,U-C-L-A,11/30/1986
EliasÿHarris,80,239,24,Gonzaga,7/6/1989
RyanÿKelly,83,230,22,Duke,4/9/1991
SteveÿBlake,75,172,33,Maryland,2/26/1980
ChrisÿKaman,84,265,31,Central Michigan,4/28/1982
SteveÿNash,75,178,39,Santa Clara,2/7/1974
WesleyÿJohnson,79,215,26,Syracuse,7/11/1987
PauÿGasol,84,250,33,None,7/6/1980
JodieÿMeeks,76,208,26,Kentucky,8/21/1987
KobeÿBryant,78,205,35,None,8/23/1978
JordanÿHill,82,235,26,Arizona,7/27/1987
RobertÿSacre,84,263,24,Gonzaga,6/6/1989
ViacheslavÿKravtsov,84,260,26,None,8/25/1987
AlexÿLen,85,255,20,Maryland,6/16/1993
GeraldÿGreen,80,200,27,None,1/26/1986
AlexÿOriakhi,81,255,23,Missouri,6/21/1990
MilesÿPlumlee,82,245,25,Duke,9/1/1988
EricÿBledsoe,73,195,23,Kentucky,12/9/1989
DionteÿChristmas,77,205,27,Temple,9/15/1986
ArchieÿGoodwin,77,189,19,Kentucky,8/17/1994
MalcolmÿLee,77,200,23,UCLA,5/22/1990
IshÿSmith,72,175,25,Wake Forest,7/5/1988
GoranÿDragic,75,190,27,None,5/6/1986
MarcinÿGortat,83,240,29,Poland,2/17/1984
ChanningÿFrye,83,245,30,Arizona,5/17/1983
DianteÿGarrett,76,190,24,Iowa State,11/3/1988
MarkieffÿMorris,82,245,24,Kansas,9/2/1989
KendallÿMarshall,76,195,22,North Carolina,8/19/1991
MarcusÿMorris,81,235,24,Kansas,9/2/1989
P.J.ÿTucker,77,225,28,Texas,5/5/1985
ShannonÿBrown,76,210,27,Michigan State,11/29/1985
DeQuanÿJones,80,221,23,Miami-Florida,6/20/1990
TrentÿLockett,77,210,22,Marquette,12/10/1990
RayÿMcCallum,75,190,22,Detroit,6/12/1991
JohnÿSalmons,78,207,33,Miami-Florida,12/12/1979
JimmerÿFredette,74,195,24,BYU,2/25/1989
